FY,OCLC,RECORD #(BIBLIO),title,author,STANDARD #,IMPRINT,CALL #(BIBLIO),LANG,LOCATION,MATTYPE,BIBLVL,NOTE,SUBJECT,ORD TYPE,VENDOR,Paid Date,Invoice Date,Invoice Num,Amount Paid,Voucher Num,Copies,Sub From,Sub To,Note
FY 14,rla00072057,b19743300,General minutes of the Annual Conferences,,,"[Evanston?, IL]",BX8382.2 A58,eng,txxx0,print book,books,Supersedes the General minutes of the Annual Conferences of the Methodist Church,,,,,,,,,,,,
FY 14,rla00062418,b19868054,The Episcopal Church annual,,,New York : Morehouse,BX5830 E6,eng,txxx0,print book,books,"The 5th-21st years, 1886-1902, (called v. 1-17) issued quarterly, one number each year, retaining the features of the annual, the other numbers being clergy lists;""Title varies: 1882-85, 1903-08, 1922-52, The Living church annual  1886-89, Living church and clergy list quarterly  1890-1902, The Living church quarterly  1909-14, The Living church annual and Whittaker's churchman's almanac.-1915-21, The living church annual and churchman's almanac"";""Vols. for 1882-85, edited by C.W. Laffingwell and A.S. Seymour"";""Imprint varies"";""Absorbed Whittaker's churchman's almanac in 1909, and the Churchman's yearbook and American church almanac in 1922"";""Holdings: 1884, 86-87, 98, 1900-17, 1919-20, 1922-24, 1926-27, 1929-31, 1934-70, 73-76, 78, 1986-88  latest vol. in ref"";""Most recent v. in reference""",,,,,,,,,,,,
FY 14,,b21334377,United States Code.,,,,Y 1.2/5:,eng,hgxx0,print book,books,,,,,,,,,,,,,
FY 14,,b21334377,United States Code.,,,,Y 1.2/5:,eng,hgxx0,print book,books,,,,,,,,,,,,,
FY 14,,b21334377,United States Code.,,,,Y 1.2/5:,eng,hgxx0,print book,books,,,,,,,,,,,,,
FY 14,,b21334377,United States Code.,,,,Y 1.2/5:,eng,hgxx0,print book,books,,,,,,,,,,,,,
FY 14,BRD2012042215,b38632044,Blood & beauty : the Borgias : a novel,Sarah Dunant,,"New York : Random House, 2013",PR6054.U45756 B59 2013,eng,hxxx0,print book,books,"Includes bibliographical references (pages 505-506);""Kirkus Reviews, June 01, 2013"";""BookPage, July 01, 2013"";""Library Journal, June 01, 2013"";""Booklist, April 15, 2013"";""Adult. Brodart"";""Adult. Brodart""","Borgia family -- Fiction;""Nobility -- Italy -- Papal States -- Fiction"";""Church and state -- Fiction"";""Italy -- History -- 1492-1559 -- Fiction"";""Biographical fiction. gsafd"";""Historical fiction. gsafd"";""Suspense fiction. gsafd""",,,,,,,,,,,
FY 14,,b27946691,Sunday School on a Shoe String: creating terrific learning environment without breaking your budget,,,"Nashville: Abingdon Press, 2003",,eng,txxx0,print book,books,,,,,,,,,,,,,
FY 14,rla00039272,b19329982,Reallexikon für Antike und Christentum : Sachwörterbuch zur Auseinandersetzung des Christentums mit der antiken Welt,,,"Stuttgart : A. Hiersemann, 1950-",BR131 R4,ger,txxx0,print book,books,"Issued in parts;""Editor: v. 1- Theodor Klauser""","Christian antiquities -- Dictionaries -- German;""Civilization, Ancient -- Dictionaries -- German"";""Christian civilization -- Dictionaries -- German"";""Christianity and other religions -- Dictionaries -- German""",,,,,,,,,,,
FY 14,,b38642633,Original Art for California Spring Wildflowers - Philip A. Munz Publication,,,,OA - Box 1B,eng,rxxx0,print book,books,"Contains artwork for: California Spring Wildflowers 1961 ed.;""Artists: Richard Shaw and Stephen Tillett"";""Accession no. - Genus Name"";""672 -Chlorogalum pomeridianum"";""673 -Erythronium multiscapordeum"";""674 -Avemopsis californica"";""675 -Anemone quinquefolia"";""676 -Platystemon californica"";""677 -Vancourviria planipetala"";""678 -Lobularia maritima"";""679 -Thelypodium flavesceus"";""680 -Dentaria californica"";""681 -Montia sibirica"";""682 -Stellarea littoralis"";""683 -Spergularia macrotheca"";""684 -Saxifrage californica"";""685 -Peltiphyllum peltalum"";""686 -Tellima grandiflora"";""687 -Prunus ilicifolia"";""688 -Amelanchier pallida"";""689 -Lupinus densiflorus"";""690 -Linum calif"";""691 -Ceanothus megacarpus"";""692 -Gaultheria shallon"";""693 -Styrax officinalis calif"";""694 -Convolvulus occ."";""695 -Navarretia leucvcychcla"";""696 -Plaguobothrya nothofuluous"";""697 -Salvia apiana"";""698 -Satureja douglasii"";"" 699 -Symphoticarpus mollis"";""700 -Petasites palmatum"";""701 -Fritillaria biflora"";""702 -Clintonia andrewsiana"";""703 -Paeonia brownii"";""704 -Aquilegia formosa"";""705 -Arabis breweri716Asarum caudatum"";""706 -Arabis blepharophylla"";""707 -Darlingtonia calif"";""708 -Streptanthus glandulosus"";""709 -Cakile maritima"";""710 -Tamarix"";""711 -Chlorizanthe membranacea"";""712 -Eriogonum gracillimum"";""713 -Rumex hymenosepalus"";""714 -Abronia umbellata"";""715 -Silene calif"";""717 -Mesum chilense"";""718 -Malvastrum parryi"";""719 -Boisduvalie censiflora"";""720 -Epilobium watsoni"";""721 -Clarkia unguiculata"";""722 -Asclepias californica"";""723 -Centauruim venustum"";""724 -Polemonium carneum"";""725 -Phlox speceora"";""726 -Casrilleja latifolia"";""727 -Antirrhinum multiflorum"";""728 -Digitalis purpursa"";""729 -Delphinium decorum"";""730 -Gilia tenuiflora"";""731 -Gilia tricolor"";""732 -Navarretia atractyloidis"";""733 -Erioclictyon californicum"";""734 -Trichostema lanatum"";""735 -Salvia clevelandis"";""736 -Solanum xanti"";""737 -Collinsia greenei"";""738 -Lomatum utriculatum"";""739 -Disporum hookeri"";""740 -Sisyrunchium calif."";""741 -Lysichiton ameri"";""742 -Neyhar polysepelum"";""743 -Berberis pinnata"";""744 -Brassica campestris"";""745 -Potentilla glandulosa"";""746 -Viola pedunculata"";""747 -Ptohea crenulata"";""748 -Garrya congdonii"";""749 -Tauschia arguila"";""750 -Amsinckia spectabilis"";""751 -Nicotiana glanca"";""752 -Erthocarpus erianthus"";""753 -Lonicera involucrata"";""754 -Plantago hookeriana"";""755 -Senecio aronicordes""",,,,,,,,,,,,
